,id,name,year,run_time,genre,rating,about,director,actors,votes,gross
146,147,Anatomy of a Murder,1959,161 min,"Crime, Drama, Mystery            ",8," murder trial, the defendant says he suffered temporary insanity after the victim raped his wife. What is the truth, and will he win his case?",Otto Preminger ,"James Stewart, Lee Remick, Ben Gazzara, Arthur O'Connell",62890,$11.90M
147,148,Out of the Past,1947,97 min,"Crime, Drama, Film-Noir            ",8,"ivate eye escapes his past to run a gas station in a small town, but his past catches up with him. Now he must return to the big city world of danger, corruption, double crosses and duplicitous dames.",Jacques Tourneur ,"Robert Mitchum, Jane Greer, Kirk Douglas, Rhonda Fleming",34859,
148,149,Z,1969,127 min,"Crime, Drama, History            ",8.3,public murder of a prominent politician and doctor amid a violent demonstration is covered up by military and government officials. A tenacious magistrate is determined not to let them get away with it.,Costa-Gavras ,"Yves Montand, Irene Papas, Jean-Louis Trintignant, François Périer",25259,$0.08M
149,150,The Shop Around the Corner,1940,99 min,"Comedy, Drama, Romance            ",8.1,"employees at a gift shop can barely stand each other, without realizing that they are falling in love through the post as each other's anonymous pen pal.",Ernst Lubitsch ,"Margaret Sullavan, James Stewart, Frank Morgan, Joseph Schildkraut",30018,$0.20M
150,151,La règle du jeu,1939,110 min,"Comedy, Drama            ",8,"urgeois life in France at the onset of World War II, as the rich and their poor servants meet up at a French chateau.",Jean Renoir ,"Marcel Dalio, Nora Gregor, Paulette Dubost, Mila Parély",27842,
151,152,The Circus,1928,72 min,"Comedy, Romance            ",8.1,Tramp finds work and the girl of his dreams at a circus.,Charles Chaplin ,"Charles Chaplin, Merna Kennedy, Al Ernest Garcia, Harry Crocker",32095,
152,153,Rio Bravo,1959,141 min,"Action, Drama, Western            ",8,"all-town sheriff in the American West enlists the help of a disabled man, a drunk, and a young gunfighter in his efforts to hold in jail the brother of the local bad guy.",Howard Hawks ,"John Wayne, Dean Martin, Ricky Nelson, Angie Dickinson",58862,$12.54M
153,154,Viskningar och rop,1972,91 min,Drama            ,8.1," a woman dying of cancer in early twentieth-century Sweden is visited by her two sisters, long-repressed feelings between the siblings rise to the surface.",Ingmar Bergman ,"Harriet Andersson, Liv Ullmann, Kari Sylwan, Ingrid Thulin",32161,$1.74M
154,155,A Matter of Life and Death,1946,104 min,"Comedy, Drama, Fantasy            ",8.1,itish wartime aviator who cheats death must argue for his life before a celestial court.,"Michael Powell, Emeric Pressburger ","David Niven, Kim Hunter, Robert Coote, Kathleen Byron",20875,
155,156,Harvey,1950,104 min,"Comedy, Drama, Fantasy            ",7.9,"to his insistence that he has an invisible six foot-tall rabbit for a best friend, a whimsical middle-aged man is thought by his family to be insane - but he may be wiser than anyone knows.",Henry Koster ,"James Stewart, Wallace Ford, William H. Lynn, Victoria Horne",54047,
156,157,The Lost Weekend,1945,101 min,"Drama, Film-Noir            ",7.9,desperate life of a chronic alcoholic is followed through a four-day drinking bout.,Billy Wilder ,"Ray Milland, Jane Wyman, Phillip Terry, Howard Da Silva",35283,$9.46M
157,158,El ángel exterminador,1962,95 min,"Drama, Fantasy            ",8.1,guests at an upper-class dinner party find themselves unable to leave.,Luis Buñuel ,"Silvia Pinal, Jacqueline Andere, Enrique Rambal, José Baviera",31628,
158,159,Harold and Maude,1971,91 min,"Comedy, Drama, Romance            ",7.9,"g, rich, and obsessed with death, Harold finds himself changed forever when he meets lively septuagenarian Maude at a funeral.",Hal Ashby ,"Ruth Gordon, Bud Cort, Vivian Pickles, Cyril Cusack",74617,
159,160,Angst essen Seele auf,1974,92 min,"Drama, Romance            ",8.1,"nely widow meets a much younger Arab worker in a bar during a rainstorm. They fall in love, to their own surprise and to the outright shock of their families, colleagues, and drinking buddies.",Rainer Werner Fassbinder ,"Brigitte Mira, El Hedi ben Salem, Barbara Valentin, Irm Hermann",20137,
160,161,The Life and Death of Colonel Blimp,1943,163 min,"Drama, Romance, War            ",8.1," the Boer War through World War II, a soldier rises through the ranks in the British military.","Michael Powell, Emeric Pressburger ","Roger Livesey, Deborah Kerr, Anton Walbrook, James McKechnie",14002,
161,162,Jungfrukällan,1960,89 min,Drama            ,8.1,"nnocent yet pampered young virgin and her family's pregnant and jealous servant set out to deliver candles to church, but only one returns from events that transpire in the woods along the way.",Ingmar Bergman ,"Max von Sydow, Birgitta Valberg, Gunnel Lindblom, Birgitta Pettersson",27918,$1.53M
162,163,His Girl Friday,1940,92 min,"Comedy, Drama, Romance            ",7.9,wspaper editor uses every trick in the book to keep his ace reporter ex-wife from remarrying.,Howard Hawks ,"Cary Grant, Rosalind Russell, Ralph Bellamy, Gene Lockhart",55951,$0.30M
163,164,Ben-Hur: A Tale of the Christ,1925,143 min,"Adventure, Drama, Romance            ",7.8,wish prince seeks to find his family and revenge himself upon his childhood friend who had him wrongly imprisoned.,"Fred Niblo, Charles Brabin, Christy Cabanne, J.J. Cohn, Rex Ingram ","Ramon Novarro, Francis X. Bushman, May McAvoy, Betty Bronson",7483,$12.45M
164,165,The Graduate,1967,106 min,"Comedy, Drama, Romance            ",8,sillusioned college graduate finds himself torn between his older lover and her daughter.,Mike Nichols ,"Dustin Hoffman, Anne Bancroft, Katharine Ross, William Daniels",262058,$104.95M
165,166,Duck Soup,1933,69 min,"Comedy, Musical            ",7.8,s T. Firefly is named president/dictator of bankrupt Freedonia and declares war on neighboring Sylvania over the love of wealthy Mrs. Teasdale.,Leo McCarey ,"Groucho Marx, Harpo Marx, Chico Marx, Zeppo Marx",58600,
166,167,Il gattopardo,1963,186 min,"Drama, History            ",8,"Prince of Salina, a noble aristocrat of impeccable integrity, tries to preserve his family and class amid the tumultuous social upheavals of 1860s Sicily.",Luchino Visconti ,"Burt Lancaster, Alain Delon, Claudia Cardinale, Paolo Stoppa",24511,
