,id,name,year,run_time,genre,rating,about,director,actors,votes,gross
174,175,Journey's End,I) (,107 min,"Drama, War            ",6.7,"in a dugout in Aisne in 1918, it is the story of a group of British officers, led by the mentally disintegrating young officer Stanhope, as they await their fate.",Saul Dibb ,"Paul Bettany, Sam Claflin, Stephen Graham, Tom Sturridge",8867,$0.16M
175,176,Whiskey Tango Foxtrot,2016,112 min,"Biography, Comedy, Drama            ",6.6,urnalist recounts her wartime coverage in Afghanistan.,"Glenn Ficarra, John Requa ","Tina Fey, Margot Robbie, Martin Freeman, Alfred Molina",51284,$23.05M
176,177,Pan's Labyrinth,2006,118 min,"Drama, Fantasy, War            ",8.2,"he Falangist Spain of 1944, the bookish young stepdaughter of a sadistic army officer escapes into an eerie but captivating fantasy world.",Guillermo del Toro ,"Ivana Baquero, Ariadna Gil, Sergi López, Maribel Verdú",637080,$37.63M
177,178,Sophie Scholl - Die letzten Tage,2005,120 min,"Biography, Crime, Drama            ",7.6,"amatization of the final days of Sophie Scholl, one of the most famous members of the German World War II anti-Nazi resistance movement, The White Rose.",Marc Rothemund ,"Julia Jentsch, Fabian Hinrichs, Alexander Held, Johanna Gastdorf",27140,$0.68M
178,179,Tobruk,2008,102 min,"History, War            ",5.9,in the Libyan Desert in WW2 a battalion of Czech soldiers face the siege of Tobruk.,Václav Marhoul ,"Jan Meduna, Petr Vanek, Robert Nebrenský, Michal Novotný",1076,
179,180,The Long Road Home,2017,60 min,"Action, Biography, Drama            ",7.5,ican forces occupying Iraq are ambushed in a Baghdad neighborhood.,,"Michael Kelly, Jason Ritter, Kate Bosworth, E.J. Bonilla",2783,
180,181,Yeonpyeong haejeon,2015,130 min,"Drama, War            ",6.6,movies follows the incident known as the second battle of Yeonpyeong which happened in 2002.,Hak-sun Kim ,"Mu-Yeol Kim, Jin Goo, Hyun-Woo Lee, Kim Dong-Hee",1091,$0.32M
181,182,Hyena Road,2015,120 min,"Action, Drama, War            ",6.5,"e different men, three different worlds, three different wars - all stand at the intersection of modern warfare - a murky world of fluid morality where all is not as it seems.",Paul Gross ,"Rossif Sutherland, Allan Hawco, David Richmond-Peck, Karl Campbell",7455,$0.00M
182,183,The Yellow Birds,2017,94 min,"Drama, War            ",5.7,"young soldiers, Bartle (21) and Murph (18) navigate the terrors of the Iraq war under the command of the older, troubled Sergeant Sterling. All the while, Bartle is tortured by a promise he made to Murph's mother before their deployment.",Alexandre Moors ,"Alden Ehrenreich, Daniel Jose Molina, Mikey Collins, Tye Sheridan",3554,
183,184,City 44,2014,130 min,"Drama, History, Romance            ",6.6,"ory of love, friendship and the pursuit of adventure during the bloody and brutal reality of the 1944 Warsaw Uprising.",Jan Komasa ,"Józef Pawlowski, Zofia Wichlacz, Anna Próchniak, Antoni Królikowski",5667,
184,185,Kamienie na szaniec,2014,111 min,"Drama, War            ",6.2,"d on a well-known Polish novel with the same title the movie re-tells a true life story of a group of scouts called ''Szare Szeregi'' (Gray Ranks) during the Nazi occupation of Warsaw ...                See full summary »
",Robert Glinski ,"Tomasz Zietek, Marcel Sabat, Kamil Szeptycki, Magdalena Kolesnik",1193,
185,186,The Last Samurai,2003,154 min,"Action, Drama            ",7.7,merican military advisor embraces the Samurai culture he was hired to destroy after he is captured in battle.,Edward Zwick ,"Tom Cruise, Ken Watanabe, Billy Connolly, William Atherton",414115,$111.11M
186,187,K-19: The Widowmaker,2002,138 min,"Drama, History, Thriller            ",6.7," Russia's first nuclear submarine malfunctions on its maiden voyage, the crew must race to save the ship and prevent a nuclear disaster.",Kathryn Bigelow ,"Harrison Ford, Sam Spruell, Peter Stebbings, Christian Camargo",61415,$35.17M
187,188,Enigma,2001,119 min,"Drama, Mystery, Romance            ",6.4,ung genius frantically races against time to crack an enemy code and solve the mystery surrounding the woman he loves.,Michael Apted ,"Dougray Scott, Kate Winslet, Saffron Burrows, Jeremy Northam",20608,$4.30M
188,189,Rules of Engagement,2000,128 min,"Drama, Thriller, War            ",6.4,ttorney defends an officer on trial for ordering his troops to fire on civilians after they stormed a U.S. embassy in a Middle Eastern country.,William Friedkin ,"Tommy Lee Jones, Samuel L. Jackson, Guy Pearce, Ben Kingsley",45992,$61.34M
189,190,Lions for Lambs,2007,92 min,"Crime, Drama, Mystery            ",6.2,"ries sustained by two Army rangers behind enemy lines in Afghanistan set off a sequence of events involving a congressman, a journalist and a professor.",Robert Redford ,"Tom Cruise, Meryl Streep, Robert Redford, Michael Peña",48714,$15.00M
190,191,The Great Raid,2005,132 min,"Action, Drama, War            ",6.7,"ng place towards the end of WWII, 500 American Soldiers have been entrapped in a camp for 3 years. Beginning to give up hope they will ever be rescued, a group of Rangers goes on a dangerous mission to try and save them.",John Dahl ,"Benjamin Bratt, Joseph Fiennes, James Franco, Robert Mammone",21585,$10.17M
191,192,Age of Heroes,2011,90 min,"Action, Adventure, Drama            ",5.6,"true story of the formation of Ian Fleming's 30 Commando unit, a precursor for the elite forces in the U.K.",Adrian Vitoria ,"Sean Bean, Danny Dyer, Aksel Hennie, Izabella Miko",9675,
192,193,Battle for Haditha,2007,97 min,"Drama, History, War            ",6.9,"nvestigation of the massacre of 24 men, women and children in Haditha, Iraq allegedly shot by 4 U.S. Marines in retaliation for the death of a U.S. Marine killed by a roadside bomb. The movie follows the story of the Marines of Kilo Company, an Iraqi family, and the insurgents who plant the roadside bomb.",Nick Broomfield ,"Matthew Knoll, Elliot Ruiz, Eric Mehalacopoulos, Nathan De La Cruz",7324,$0.01M
193,194,Ali and Nino,2016,100 min,"Drama, Romance, War            ",7, story of a Muslim Azerbaijani boy and Christian Georgian girl in Baku from 1918 to 1920.,Asif Kapadia ,"Adam Bakri, María Valverde, Mandy Patinkin, Riccardo Scamarcio",5041,
194,195,La mula,2013,100 min,"Comedy, Drama            ",5.8,ldier protects a mule during the Spanish Civil War. Based on the novel by Juan Eslava Galan.,"Michael Radford, Sebastien Grousset ","Mario Casas, María Valverde, Antonio Gil, Daniel Grao",775,
195,196,Cinco de Mayo: La batalla,2013,125 min,"Drama, History, War            ",6.2,"ay 5th, 1862, a few thousand Mexican soldiers put their lives on the line against the world's largest and most powerful army in one legendary battle for freedom and for Mexico.",Rafa Lara ,"Christian Vazquez, Angélica Aragón, Liz Gallardo, Kuno Becker",878,$0.17M
196,197,Voces inocentes,2004,120 min,"Drama, Thriller, War            ",7.9,"ung boy, in an effort to have a normal childhood in 1980's El Salvador, is caught up in a dramatic fight for his life as he desperately tries to avoid the war which is raging all around him.",Luis Mandoki ,"Carlos Padilla, Leonor Varela, Xuna Primus, Gustavo Muñoz",7506,$0.84M
197,198,Geroy,2016,76 min,"Action, Drama, Romance            ",4.6,"ey goes to Paris to visit the grave of his great-grandfather, who had been an officer in the White Army. On the headstone of the next grave, he notices the face of a young woman. He will see this face again.",Yuriy Vasilev ,"Aleksandr Adabashyan, Aleksandr Baluev, Marat Basharov, Dima Bilan",433,
198,199,Hannibal,2006,89 min,"Action, Biography, Drama            ",6.8,"s 200 years before the birth of Christ and Rome is the new superpower of the ancient world. She believes she is invincible - but one man is destined to change that. He is a man bound by...                See full summary »
",Edward Bazalgette ,"Alexander Siddig, Emilio Doorgasingh, Bashar Rahal, Mido Hamada",1627,
199,200,Thank You for Your Service,I) (,109 min,"Biography, Drama, War            ",6.6,"oup of U.S. soldiers returning from Iraq struggle to integrate back into family and civilian life, while living with the memory of a war that threatens to destroy them long after they've left the battlefield.",Jason Hall ,"Miles Teller, Beulah Koale, Joe Cole, Scott Haze",13206,$9.47M
200,201,Bridge of Spies,2015,142 min,"Drama, History, Thriller            ",7.6,"ng the Cold War, an American lawyer is recruited to defend an arrested Soviet spy in court, and then help the CIA facilitate an exchange of the spy for the Soviet captured American U2 spy plane pilot, Francis Gary Powers.",Steven Spielberg ,"Tom Hanks, Mark Rylance, Alan Alda, Amy Ryan",298237,$72.31M
201,202,Kajaki,2014,108 min,"Adventure, Biography, Drama            ",7.1,"ki Dam 2006. A company of young British soldiers encounter an unexpected, terrifying enemy. A dried-out river bed, and under every step the possibility of an anti-personnel mine. A mine that could cost you your leg - or your life.",Paul Katis ,"David Elliot, Mark Stanley, Scott Kyle, Benjamin O'Mahony",12725,
202,203,13 Hours,2016,144 min,"Action, Drama, Thriller            ",7.3,"ng an attack on a U.S. compound in Libya, a security team struggles to make sense out of the chaos.",Michael Bay ,"John Krasinski, Pablo Schreiber, James Badge Dale, David Denman",128537,$52.85M
203,204,Passchendaele,2008,114 min,"Drama, History, Romance            ",6.4,"lives of a troubled veteran, his nurse girlfriend and a naive boy intersect first in Alberta and then in Belgium during the bloody World War I battle of Passchendaele.",Paul Gross ,"Paul Gross, Michael Greyeyes, James Kot, Jesse Frechette",8192,
204,205,Kokoda,2006,92 min,"Action, Drama, War            ",6.1,tter battle is fought between Australian and Japanese soldiers along the Kokoda trail in New Guinea during World War II.,Alister Grierson ,"Jack Finsterer, Travis McMahon, Simon Stone, Luke Ford",2925,
205,206,Leningrad,2009,110 min,"Drama, War            ",6.1,"er, 1941. World War II rages on as Nazi troops invade the Soviet Union and besiege the devastated city of Leningrad. Foreign journalists are quickly evacuated, but in the chaos that ensues, Kate Davies is left behind.",Aleksandr Buravskiy ,"Mira Sorvino, Armin Mueller-Stahl, Olga Sutulova, Gabriel Byrne",4555,
206,207,Zvezda,2002,97 min,"Action, Adventure, Drama            ",7.1,"ng WW2 the Russian Army sent a special group named ""Zvezda"" to fight the Nazis in their backyard.",Nikolay Lebedev ,"Igor Petrenko, Artyom Semakin, Aleksey Panin, Aleksey Kravchenko",2487,
207,208,Vilniaus getas,2005,110 min,"History, War            ",6.8,"942, in Vilnius, the Nazi annihilate 55,000 Jews and squeeze the 15,000 survivors in a seven blocks ghetto. The twenty-two year old sadistic commander Kittel is assigned to administrate...                See full summary »
",Audrius Juzenas ,"Heino Ferch, Sebastian Hülk, Erika Marozsán, Andrius Zebrauskas",1270,
208,209,Tadas Blinda. Pradzia,2011,106 min,"Adventure, Drama, History            ",7.1,mance blooms between a noblewoman and a common man amid a peasant revolt against the brutal Russian army,Donatas Ulvydas ,"Mantas Jankavicius, Agniya Ditkovskite, Tatyana Lyutaeva, Vidas Petkevicius",3001,
209,210,Riphagen,2016,131 min,"Biography, Drama, War            ",7.1,"story about Riphagen, a cunning Dutch traitor during WW2 who helped Nazi round up Jews, stealing their treasures for himself. He destroyed Resistance groups, making many who pursued justice after the war look like fools.",Pieter Kuijpers ,"Huub Smit, Jeroen van Koningsbrugge, Anna Raadsveld, Sigrid ten Napel",7127,
210,211,Pohwasogeuro,2010,120 min,"Action, Drama, War            ",7.3,story of student-soldiers trying to protect a middle school during the early days of the Korean War.,John H. Lee ,"Seung-Won Cha, Sang-Woo Kwon, Seung-Hyun Choi, Seung-woo Kim",5292,
211,212,Gukjesijang,2014,126 min,"Drama, War            ",7.9," the time of Korean War, a young boy's vow to take care of his family marked the beginning of a lifelong promise spanning 60 years.",JK Youn ,"Jung-min Hwang, Yunjin Kim, Dal-su Oh, Jin-young Jung",4748,$2.30M
212,213,Gongdong gyeongbi guyeok JSA,2000,110 min,"Action, Drama, Thriller            ",7.8,"r a shooting incident at the North/South Korean border/DMZ leaves 2 North Korean soldiers dead, a neutral Swiss/Swedish team investigates, what actually happened.",Park Chan-Wook ,"Lee Yeong-ae, Lee Byung-hun, Kang-ho Song, Kim Tae-Woo",28202,
213,214,The Reader,2008,124 min,"Drama, Romance            ",7.6,"-WWII Germany: Nearly a decade after his affair with an older woman came to a mysterious end, law student Michael Berg re-encounters his former lover as she defends herself in a war-crime trial.",Stephen Daldry ,"Kate Winslet, Ralph Fiennes, Bruno Ganz, Jeanette Hain",235711,$34.19M
214,215,Saul fia,2015,107 min,"Drama, War            ",7.5,wish-Hungarian concentration camp prisoner sets out to give a child he mistook for his son a proper burial.,László Nemes ,"Géza Röhrig, Levente Molnár, Urs Rechn, Todd Charmont",46871,$1.78M
215,216,Conspiracy,2001,96 min,"Biography, Drama, History            ",7.7,"he Wannsee Conference on January 20, 1942, senior Nazi officials meet to determine the manner in which the so-called ""Final Solution to the Jewish Question"" can be best implemented.",Frank Pierson ,"Kenneth Branagh, Clare Bullus, Stanley Tucci, Simon Markey",20013,
216,217,Phoenix,II) ,98 min,"Drama, History, Music            ",7.3,sfigured Holocaust survivor sets out to determine if the man she loved betrayed her trust.,Christian Petzold ,"Nina Hoss, Ronald Zehrfeld, Nina Kunzendorf, Trystan Pütter",17835,
217,218,Storming Juno,2010,88 min,"History, War            ",6.7,"drama retelling the Canadian assault of Juno Beach on D-Day, as told via reenactment and through interviews with those who were there.",Tim Wolochatiuk ,"Benjamin Muir, Kevin Walker, Craig Cyr, Anthony Rella",630,
218,219,Tmavomodrý svet,2001,112 min,"War, Drama, Action            ",7.2,friendship of two men becomes tested when they both fall for the same woman.,Jan Sverák ,"Ondrej Vetchý, Krystof Hádek, Tara Fitzgerald, Charles Dance",5707,$0.26M
219,220,Mein bester Feind,2011,109 min,"Comedy, Drama, War            ",6.7,"rk WWII comedy about two friends, stolen artwork and an unfortunate case of mistaken identities, as a Jewish man switches places with his Nazi best friend in order to survive",Wolfgang Murnberger ,"Moritz Bleibtreu, Georg Friedrich, Ursula Strauss, Marthe Keller",1475,
220,221,Un secret,2007,105 min,"Drama, War            ",6.8,-year-old boy unearths a shocking family secret.,Claude Miller ,"Cécile de France, Patrick Bruel, Ludivine Sagnier, Julie Depardieu",3062,$0.62M
221,222,Max,I) (,106 min,"Drama, War            ",6.5,"lm studying the depiction of a friendship between an art dealer named Rothman and his student, Adolf Hitler.",Menno Meyjes ,"John Cusack, Noah Taylor, Leelee Sobieski, Molly Parker",8453,$0.53M
