,id,name,year,run_time,genre,rating,about,director,actors,votes,gross
56,57,Vice,I) (,132 min,"Biography, Comedy, Drama            ",7.2,"story of Dick Cheney, an unassuming bureaucratic Washington insider, who quietly wielded immense power as Vice President to George W. Bush, reshaping the country and the globe in ways that we still feel today.",Adam McKay ,"Christian Bale, Amy Adams, Steve Carell, Sam Rockwell",131933,$47.84M
57,58,Avaze gonjeshk-ha,2008,96 min,"Drama, Family            ",7.9," an ostrich-rancher focuses on replacing his daughter's hearing aid, which breaks right before crucial exams, everything changes for a struggling rural family in Iran. Karim motorbikes ...                See full summary »
",Majid Majidi ,"Mohammad Amir Naji, Maryam Akbari, Kamran Dehghan, Hamid Aghazi",10115,$0.12M
58,59,Kiseki,2011,128 min,Drama            ,7.4,"ve-year-old Koichi, who has been separated from his brother Ryunosuke due to his parents' divorce, hears a rumor that the new bullet trains will precipitate a wish-granting miracle when they pass each other at top speed.",Hirokazu Koreeda ,"Kôki Maeda, Ohshirô Maeda, Masami Nagasawa, Hiroshi Abe",6600,$0.15M
59,60,Empire of the Sun,1987,153 min,"Action, Drama, History            ",7.7,ung English boy struggles to survive under Japanese occupation of China during World War II.,Steven Spielberg ,"Christian Bale, John Malkovich, Miranda Richardson, Nigel Havers",119795,$22.24M
60,61,The Kid,1921,68 min,"Comedy, Drama, Family            ",8.3,"Tramp cares for an abandoned child, but events put that relationship in jeopardy.",Charles Chaplin ,"Charles Chaplin, Edna Purviance, Jackie Coogan, Carl Miller",119485,$5.45M
61,62,El Camino: A Breaking Bad Movie,2019,122 min,"Action, Crime, Drama            ",7.3,"tive Jesse Pinkman runs from his captors, the law, and his past.",Vince Gilligan ,"Aaron Paul, Jonathan Banks, Matt Jones, Charles Baker",203024,
62,63,My Own Love Song,2010,102 min,"Adventure, Comedy, Drama            ",5.8,"eelchair-bound former singer and her best friend embark on a road trip from Kansas to New Orleans, Louisiana.",Olivier Dahan ,"Renée Zellweger, Madeline Zima, Forest Whitaker, Elias Koteas",1731,
63,64,"Il buono, il brutto, il cattivo",1966,161 min,Western            ,8.8,unty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.,Sergio Leone ,"Clint Eastwood, Eli Wallach, Lee Van Cleef, Aldo Giuffrè",714924,$6.10M
64,65,Jusqu'à la garde,2017,93 min,Drama            ,7.5,oken marriage leads to a bitter custody battle with an embattled son at the centre.,Xavier Legrand ,"Léa Drucker, Denis Ménochet, Thomas Gioria, Mathilde Auneveux",8695,$0.08M
65,66,Campeones,I) (,124 min,"Comedy, Drama, Family            ",7.3,"sketball coach is sentenced to community service, forced to work with a team of mentally disabled players.",Javier Fesser ,"Javier Gutiérrez, Athenea Mata, Juan Margallo, José de Luna",9620,
66,67,"I, Daniel Blake",2016,100 min,Drama            ,7.9,"r surviving a heart-attack, a 59-year-old carpenter must fight bureaucratic forces to receive Employment and Support Allowance.",Ken Loach ,"Dave Johns, Hayley Squires, Sharon Percy, Briana Shann",56779,$0.26M
67,68,Red Joan,2018,101 min,"Biography, Drama, History            ",6.4,"story of Joan Stanley, who was exposed as the K.G.B.'s longest-serving British spy.",Trevor Nunn ,"Judi Dench, Sophie Cookson, Stephen Campbell Moore, Tom Hughes",11066,$1.58M
68,69,Per qualche dollaro in più,1965,132 min,Western            ,8.2,bounty hunters with the same intentions team up to track down a Western outlaw.,Sergio Leone ,"Clint Eastwood, Lee Van Cleef, Gian Maria Volontè, Mara Krupp",242221,$15.00M
69,70,Smultronstället,1957,91 min,"Drama, Romance            ",8.2,"r living a life marked by coldness, an aging professor is forced to confront the emptiness of his existence.",Ingmar Bergman ,"Victor Sjöström, Bibi Andersson, Ingrid Thulin, Gunnar Björnstrand",101549,
70,71,Avengers: Endgame,2019,181 min,"Action, Adventure, Drama            ",8.4,"r the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe.","Anthony Russo, Joe Russo ","Robert Downey Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth",928380,$858.37M
71,72,First Reformed,2017,113 min,"Drama, Mystery, Thriller            ",7.1,"nister of a small congregation in upstate New York grapples with mounting despair brought on by tragedy, worldly concerns and a tormented past.",Paul Schrader ,"Ethan Hawke, Amanda Seyfried, Cedric the Entertainer, Victoria Hill",51649,$3.45M
72,73,Wildlife,2018,105 min,Drama            ,6.8,enage boy must deal with his mother's complicated response after his father temporarily abandons them to take a menial and dangerous job.,Paul Dano ,"Ed Oxenbould, Jake Gyllenhaal, Carey Mulligan, Travis W Bruyer",26825,$1.03M
73,74,Uncut Gems,2019,135 min,"Crime, Drama, Thriller            ",7.4," his debts mounting and angry collectors closing in, a fast-talking New York City jeweler risks everything in hope of staying afloat and alive.","Benny Safdie, Josh Safdie ","Adam Sandler, Julia Fox, Idina Menzel, Mesfin Lamengo",243283,
74,75,Pavarotti,2019,114 min,"Documentary, Biography, Music            ",7.5,", works and achievements of opera legend Luciano Pavarotti.",Ron Howard ,"Luciano Pavarotti, Andrea Griminelli, Nicoletta Mantovani, Plácido Domingo",3054,$4.60M
75,76,Nordwand,2008,126 min,"Adventure, Biography, Drama            ",7.4,cretary at a Berlin newspaper in 1936 gets to write about two alpinists as she knows them well. She later gets to report on/photograph her friends' and other alpinists' climb of the dangerous Swiss Eiger north face.,Philipp Stölzl ,"Benno Fürmann, Florian Lukas, Johanna Wokalek, Simon Schwarz",15317,$0.71M
76,77,Capharnaüm,2018,126 min,Drama            ,8.4,"e serving a five-year sentence for a violent crime, a 12-year-old boy sues his parents for neglect.",Nadine Labaki ,"Zain Al Rafeea, Yordanos Shiferaw, Boluwatife Treasure Bankole, Kawsar Al Haddad",73801,$1.66M
77,78,The Irishman,2019,209 min,"Biography, Crime, Drama            ",7.8,an Frank Sheeran looks back at the secrets he kept as a loyal member of the Bufalino crime family.,Martin Scorsese ,"Robert De Niro, Al Pacino, Joe Pesci, Harvey Keitel",349163,$7.00M
78,79,Twelve Monkeys,1995,129 min,"Mystery, Sci-Fi, Thriller            ",8," future world devastated by disease, a convict is sent back in time to gather information about the man-made virus that wiped out most of the human population on the planet.",Terry Gilliam ,"Bruce Willis, Madeleine Stowe, Brad Pitt, Joseph Melito",594557,$57.14M
79,80,100 metros,2016,108 min,"Biography, Comedy, Drama            ",7.5,"d on true events, a Spanish man with multiple sclerosis who tried to finish an Iron-Man competition despite he was told that he could not make 100 meters.",Marcel Barrena ,"Dani Rovira, Karra Elejalde, Alexandra Jiménez, David Verdaguer",5916,
80,81,Meu Nome Não é Johnny,2008,124 min,"Biography, Crime, Drama            ",7.2,"true story of João Guilherme Estrella (""Johnny""), a young middle-class bon vivant who became a big-time cocaine dealer in Rio de Janeiro in the early 1990s.",Mauro Lima ,"Selton Mello, Giulio Lopes, Júlia Lemmertz, Felipe Severo",7004,
81,82,Chingisiin huuhduud,2017,101 min,"Adventure, Family            ",8,"Mongolian people from long ago have had a tradition of three cultural games that have always been around during the time of festivities. Mongolian wrestling, racing horses and archery ...                See full summary »
",Zolbayar Dorj ,"Dorjsambuu Dambii, Dorj Dambii, Sharavdorj Dambii, Brittany Belt",914,
82,83,Não Pare na Pista: A Melhor História de Paulo Coelho,2014,112 min,"Biography, Drama, Music            ",5.6,ronicle of Paulo Coelho's rise from his troubled life to become one of the most influential writers in Brazilian history.,Daniel Augusto ,"Júlio Andrade, Ravel Andrade, Fabiana Gugli, Fabiula Nascimento",623,
